Pidgeotto,13,27,4,2,2,3,1,17
Charmander,11,26,3,3,1,4,1,4
Aracnine,16,25,4,2,2,5,0,59
Meowth,6,24,2,1,1,4,3,52
Nidoran male,9,23,3,1,1,4,0,32
Seadra,9,22,3,2,0,2,0,117
Golduck,11,21,2,3,0,3,0,55
Beedrill,12,20,3,2,2,2,3,15
Zapdos,15,19,4,2,1,3,0,145
Machop,14,18,3,1,1,4,0,66
Fearow,17,17,4,0,1,3,1,22
Butterfree,12,16,2,1,0,3,2,12
Dugtrio,13,15,3,2,0,5,0,51
Golem,17,14,4,1,0,4,0,76
Marowak,12,13,3,2,2,4,0,105
Poliwrath,15,12,3,1,2,2,1,62
Vaporeon,10,11,2,0,3,3,0,134
Magneton,18,10,2,1,1,2,3,82
Omanyte,9,9,3,2,3,4,2,138
Cubone,10,8,2,2,0,3,0,104
Hypno,11,7,2,3,0,3,0,97
Rhydon,20,6,5,1,0,3,0,111
Cloyster,14,5,4,3,1,3,1,91
Snorlax,20,4,5,1,0,3,0,143
Drowzee,13,3,3,0,2,3,1,96
Nidoking,19,2,5,1,1,4,0,34
Slowbro,14,1,2,0,4,0,3,79
